"","total_cup_points","variety","country_of_origin","aroma","flavor","aftertaste","body","balance"
"340",83.58,"Caturra","Colombia",7.67,7.75,7.58,7.75,7.58
"341",83.58,"Caturra","Mexico",7.75,7.75,7.58,7.5,7.67
"342",83.58,"Other","Ethiopia",7.75,7.67,7.58,7.5,7.67
"343",83.58,"SL14","Uganda",7.67,7.67,7.42,7.75,7.67
"344",83.58,"Caturra","Colombia",7.67,7.58,7.67,7.67,7.67
"345",83.58,"Caturra","Colombia",7.67,7.58,7.67,7.67,7.75
"346",83.58,"Caturra","Colombia",7.75,7.58,7.5,7.75,7.83
"347",83.58,"Typica","Taiwan",7.75,7.75,7.75,7.5,7.58
"348",83.58,"Caturra","Colombia",7.67,7.67,7.58,7.75,7.58
"349",83.58,"Typica","Mexico",7.83,7.67,7.58,7.67,7.58
"350",83.58,"Caturra","Colombia",7.67,7.58,7.58,7.67,7.75
"351",83.58,"Catuai","Brazil",7.83,7.75,7.5,7.5,7.58
"352",83.5,"Caturra","Colombia",7.75,7.58,7.58,7.75,7.5
"353",83.5,NA,"Taiwan",7.58,7.58,7.17,7,7
"354",83.5,"Caturra","Costa Rica",7.92,7.42,7.5,7.5,7.67
"355",83.5,"Caturra","Colombia",7.75,7.58,7.58,7.75,7.75
"356",83.5,"Bourbon","Guatemala",7.67,7.75,7.5,7.58,7.58
"357",83.5,"Caturra","Colombia",7.58,7.58,7.58,7.75,7.67
"358",83.5,"Ruiru 11","Tanzania, United Republic Of",7.75,7.67,7.58,7.67,7.58
"359",83.5,"Sumatra","Indonesia",7.25,7.67,7.58,7.83,7.58
"360",83.5,NA,"Ethiopia",7.67,7.75,7.5,7.75,7.67
"361",83.5,NA,"Colombia",7.67,7.42,7.67,7.58,7.67
"362",83.5,"Caturra","Colombia",8,7.58,7.25,7.92,7.58
"363",83.5,"Caturra","Guatemala",7.58,7.75,7.5,7.42,7.67
"364",83.5,"Caturra","Colombia",7.75,7.58,7.33,7.83,7.83
"365",83.5,"Caturra","Honduras",7.67,7.5,7.67,7.67,7.67
"366",83.5,"Caturra","Colombia",7.58,7.75,7.42,7.75,7.67
"367",83.5,"Caturra","Colombia",7.58,7.67,7.58,7.58,7.75
"368",83.5,"Bourbon","Mexico",7.83,7.58,7.25,7.5,7.42
"369",83.5,"Typica","Mexico",7.67,7.75,7.67,7.58,7.5
"370",83.5,"Pacamara","Mexico",7.75,7.67,7.67,7.33,7.5
"371",83.5,"Caturra","Guatemala",7.83,7.5,7.5,7.67,7.5
"372",83.5,"Caturra","Colombia",7.67,7.58,7.58,7.67,7.67
"373",83.5,"Bourbon","Guatemala",7.5,7.5,7.75,8,7.67
"374",83.5,NA,"United States (Hawaii)",7.5,7.67,7.58,7.58,7.67
"375",83.5,NA,"Indonesia",7.83,7.58,7.58,7.75,7.58
"376",83.42,"Caturra","Colombia",7.5,7.58,7.58,7.75,7.83
"377",83.42,"Bourbon","Guatemala",7.67,7.75,7.5,7.58,7.67
"378",83.42,"Caturra","Colombia",7.67,7.67,7.5,7.67,7.58
"379",83.42,"Caturra","Costa Rica",7.58,7.5,7.42,7.5,7.67
"380",83.42,NA,"Taiwan",7.67,7.67,7,7,7
"381",83.42,"SL14","Uganda",7.58,7.75,7.33,7.67,7.58
"382",83.42,"Catimor","Thailand",7.5,7.58,7.75,7.75,7.67
"383",83.42,"Bourbon","El Salvador",7.58,7.5,7.75,7.75,7.67
"384",83.42,"Caturra","Colombia",7.58,7.67,7.58,7.58,7.67
"385",83.42,"Yellow Bourbon","Brazil",7.33,7.83,7.75,7.42,7.83
"386",83.42,"Bourbon","Tanzania, United Republic Of",7.75,7.67,7.58,7.58,7.58
"387",83.42,"Caturra","Colombia",7.58,7.58,7.25,7.75,8.58
"388",83.42,"Bourbon","Guatemala",7.75,7.83,7.33,7.5,7.67
"389",83.42,"Caturra","Guatemala",7.67,7.75,7.5,7.58,7.5
"390",83.42,"Bourbon","Guatemala",7.67,7.5,7.75,7.75,7.75
"391",83.42,"Hawaiian Kona","United States (Hawaii)",7.42,7.75,7.67,7.67,7.67
"392",83.42,"Caturra","Colombia",7.5,7.75,7.58,7.67,7.75
"393",83.42,NA,"Colombia",7.58,7.58,7.58,7.75,7.67
"394",83.42,NA,"United States (Hawaii)",7.5,7.92,7.42,7.83,7.58
"395",83.42,"Peaberry","Thailand",7.58,7.25,7.5,7.92,7.42
"396",83.38,NA,"Mexico",7.25,7.88,7.38,7.5,8.75
"397",83.33,"Caturra","Colombia",7.75,7.5,7.75,7.58,7.58
"398",83.33,"Caturra","Colombia",7.67,7.58,7.58,7.67,7.75
"399",83.33,"Caturra","Colombia",7.83,7.58,7.58,7.5,7.58
"400",83.33,"Catuai","Brazil",7.5,7.83,7.33,7.58,7.92
"401",83.33,"Caturra","Mexico",7.75,7.75,7.5,7.5,7.58
"402",83.33,"Caturra","Colombia",7.67,7.75,7.42,7.83,7.42
"403",83.33,"Other","Tanzania, United Republic Of",7.75,7.58,7.67,7.58,7.58
"404",83.33,"Other","Mexico",7.67,7.67,7.58,7.5,7.58
"405",83.33,"Caturra","Costa Rica",7.67,7.67,7.42,7.67,7.67
"406",83.33,"Hawaiian Kona","United States (Hawaii)",7.83,7.58,7.83,7.92,8
"407",83.33,"Catuai","Costa Rica",7.5,7.67,7.67,7.83,7.17
"408",83.33,NA,"Peru",7.83,7.75,7.58,7.92,7.58
"409",83.33,"Typica","Haiti",7.58,7.5,7.67,7.83,7.42
"410",83.33,"Caturra","Colombia",7.67,7.67,7.5,7.92,7.42
"411",83.33,"Bourbon","Guatemala",7.83,7.67,7.17,7.67,7.67
"412",83.33,"Hawaiian Kona","United States (Hawaii)",7.92,7.5,7.58,7.67,7.67
"413",83.33,"Bourbon","Burundi",7.75,7.67,7.33,7.5,7.75
"414",83.33,"Caturra","Colombia",7.5,7.67,7.67,7.67,7.58
"415",83.33,NA,"United States (Hawaii)",8.08,7.83,7.83,7.67,7.58
"416",83.33,NA,"United States (Hawaii)",7.58,7.67,7.58,7.83,7.67
"417",83.25,"Typica","Mexico",7.67,7.83,7.42,7.33,7.5
"418",83.25,"Catuai","Costa Rica",7.5,7.5,7.83,7.67,7.67
"419",83.25,NA,"Costa Rica",7.83,7.5,7.42,7.5,7.67
"420",83.25,"Pacas","Guatemala",7.5,7.58,7.42,7.67,7.58
"421",83.25,"SL14","Uganda",7.5,7.67,7.67,7.67,7.67
"422",83.25,NA,"Brazil",7.58,7.67,7.42,7.67,7.42
"423",83.25,"Caturra","Colombia",7.58,7.67,7.67,7.75,7.83
"424",83.25,"Typica","Mexico",7.83,7.75,7.5,7.58,7.58
"425",83.25,"Bourbon","Taiwan",7.67,7.5,7.5,7.67,7.83
"426",83.25,"Typica","Taiwan",7.92,7.83,7.75,7.5,7.33
"427",83.25,"Caturra","Colombia",7.58,7.58,7.5,7.58,7.75
"428",83.25,"Caturra","Guatemala",7.5,7.67,7.58,7.67,7.5
"429",83.25,"Caturra","Colombia",7.83,7.5,7.67,7.67,7.67
"430",83.25,"Bourbon","Mexico",7.58,7.75,7.5,7.58,7.58
"431",83.25,"Hawaiian Kona","United States (Hawaii)",7.58,7.75,7.83,8.08,7.67
"432",83.25,"Mundo Novo","Mexico",7.75,7.58,7.58,7.5,7.58
"433",83.25,"Caturra","Mexico",7.75,7.75,7.42,7.33,7.5
"434",83.25,"Bourbon","Guatemala",7.83,7.58,7.08,7.42,8.08
"435",83.25,"Yellow Bourbon","Brazil",7.75,7.67,7.5,7.58,7.58
"436",83.25,"Caturra","Colombia",7.67,7.58,7.58,7.83,7.58
"437",83.25,"Caturra","Colombia",7.67,7.67,7.5,7.58,7.67
"438",83.25,NA,"Colombia",7.92,7.75,7.25,7.83,7.58
"439",83.25,NA,"Colombia",8,7.67,7.67,7.67,7.5
"440",83.25,NA,"Colombia",7.92,7.75,7.5,7.42,7.67
"441",83.17,"Bourbon","Brazil",7.67,7.42,7.5,7.67,7.58
"442",83.17,"Bourbon","Guatemala",7.58,7.58,7.33,7.75,7.58
"443",83.17,"Bourbon","Tanzania, United Republic Of",7.67,7.58,7.42,7.67,7.58
"444",83.17,NA,"Peru",7.92,7.5,7.5,7.67,7.5
"445",83.17,"Catimor","Vietnam",7.58,7.42,7.08,7.58,8.58
"446",83.17,"Caturra","Guatemala",7.67,7.75,7.42,7.58,7.5
"447",83.17,"Catuai","Honduras",7.67,7.67,7.5,7.5,7.67
"448",83.17,"Catimor","China",7.5,7.67,7.33,7.67,7.67
"449",83.17,"Catimor","China",7.67,7.67,7.5,7.42,7.58
"450",83.17,"Bourbon","El Salvador",7.5,7.5,7.33,8,7.67
"451",83.17,"Bourbon","Guatemala",7.5,7.75,7.5,7.58,7.5
"452",83.17,"Bourbon","Guatemala",7.92,7.67,7.42,7.5,7.5
"453",83.17,"SL28","Kenya",7.83,7.75,7.67,7.83,8.5
"454",83.17,NA,"Thailand",7.67,7.58,7.58,7.42,7.67
"455",83.17,"Other","Tanzania, United Republic Of",7.58,7.67,7.67,7.42,7.58
"456",83.17,"Caturra","Colombia",7.58,7.5,7.5,7.5,7.67
"457",83.17,"SL14","Uganda",8,7.67,7.5,7.33,7.58
"458",83.17,NA,"Colombia",7.58,7.75,7.5,7.58,7.58
"459",83.17,"Catuai","Honduras",7.5,7.5,7.5,7.67,7.67
"460",83.17,"Caturra","Honduras",7.67,7.67,7.5,7.5,7.67
"461",83.17,"Catuai","Guatemala",7.33,7.83,7.17,7.33,7.67
"462",83.17,"Hawaiian Kona","United States (Hawaii)",7.5,7.5,7.58,7.92,7.67
"463",83.17,"Bourbon","Tanzania, United Republic Of",7.58,7.5,7.58,7.58,7.58
"464",83.17,"Bourbon","Guatemala",7.67,7.83,7.33,7.5,7.67
"465",83.17,"Typica","Mexico",7.75,7.58,7.58,7.5,7.42
"466",83.17,"Typica","Mexico",7.75,7.67,7.58,7.42,7.58
"467",83.17,"Pacamara","Mexico",7.58,7.75,7.42,7.5,7.58
"468",83.17,"Caturra","Colombia",7.67,7.5,7.5,7.58,8.17
"469",83.17,"Typica","Mexico",7.75,7.5,7.42,7.58,7.58
"470",83.17,"Caturra","Colombia",7.58,7.67,7.5,7.67,7.67
"471",83.17,"Typica","Mexico",7.5,7.75,7.58,7.67,7.5
"472",83.17,"Mundo Novo","Brazil",7.75,7.67,7.58,7.58,7.58
"473",83.17,"Mundo Novo","Brazil",7.92,7.58,7.5,7.42,7.5
"474",83.17,"Bourbon","Guatemala",7.75,7.5,7.67,7.92,8
"475",83.17,"Mundo Novo","Brazil",7.75,7.5,7.58,7.75,7.5
"476",83.17,NA,"Brazil",7.58,7.75,7.67,7.67,7.58
"477",83.17,NA,"El Salvador",7.42,7.83,8.17,7.17,7.58
"478",83.17,NA,"Ethiopia",7.75,8,7.67,7.83,7.92
"479",83.08,"Caturra","Colombia",7.58,7.67,7.33,7.75,7.58
"480",83.08,"Caturra","Colombia",7.75,7.5,7.5,8,7.75
"481",83.08,"Yellow Bourbon","Brazil",7.58,7.58,7.58,7.67,7.58
"482",83.08,"Yellow Bourbon","Brazil",7.33,7.67,7.67,7.75,7.42
"483",83.08,"Typica","Taiwan",7.83,7.92,7.5,7.67,7.25
"484",83.08,"Mundo Novo","Brazil",7.42,7.67,7.58,7.75,7.67
"485",83.08,"Bourbon","Brazil",7.58,7.83,7.67,7.42,7.5
"486",83.08,"Catuai","Costa Rica",7.83,7.33,7.5,7.58,7.67
"487",83.08,"Hawaiian Kona","United States (Hawaii)",7.33,7.75,7.58,7.83,7.67
"488",83.08,"Typica","Taiwan",7.75,7.75,7.5,7.5,7.5
"489",83.08,"Hawaiian Kona","United States (Hawaii)",7.83,7.83,7.33,7.75,7.67
"490",83.08,"Other","Mexico",7.75,7.67,7.42,7.5,7.5
"491",83.08,"Hawaiian Kona","United States (Hawaii)",7.67,7.58,7.5,7.92,8
"492",83.08,"Hawaiian Kona","United States (Hawaii)",7.33,7.58,7.58,7.67,7.58
"493",83.08,"Caturra","Colombia",7.33,7.33,7.33,7.25,8.08
"494",83.08,NA,"Colombia",7.83,7.75,7.33,7.42,7.92
"495",83.08,NA,"Indonesia",7.67,7.58,7.5,7.67,7.58
"496",83.08,NA,"Guatemala",7.92,7.67,7.67,7.83,7.67
"497",83,"Bourbon","Brazil",7.58,7.5,7.5,7.67,7.5
"498",83,"Bourbon","Brazil",7.5,7.58,7.58,7.58,7.5
"499",83,"Bourbon","Brazil",7.5,7.67,7.58,7.58,7.42
"500",83,"Bourbon","Uganda",7.67,7.58,7.42,7.83,7.5
"501",83,"Bourbon","Uganda",7.67,7.67,7.5,7.42,7.5
"502",83,NA,"Colombia",7.67,7.67,7.33,7.5,7.58
"503",83,"Caturra","Vietnam",7.75,7.67,7.58,7.42,7.67
"504",83,"Catuai","Guatemala",7.67,7.75,7.33,7.42,7.5
"505",83,"Catuai","Guatemala",7.75,7.67,7.33,7.5,7.42
"506",83,"Bourbon","Guatemala",7.83,7.67,7.25,7.75,7.5
"507",83,"Catuai","Brazil",7.67,7.67,7.67,7.42,7.5
"508",83,"Typica","Taiwan",7.92,7.92,7.83,7.33,7.25
"509",83,"SL14","Uganda",7.83,7.58,7.5,7.58,7.5
"510",83,"Other","United States (Puerto Rico)",7.67,7.5,7.67,7.75,7.83
"511",83,"Bourbon","Guatemala",7.67,7.67,7.42,7.5,7.5
"512",83,"Catuai","Costa Rica",7.67,7.58,7.5,7.5,7.5
"513",83,"Yellow Bourbon","Brazil",7.75,7.58,7.42,7.42,7.67
"514",83,"Caturra","Colombia",7.75,7.42,7.33,7.58,7.17
"515",83,"Caturra","Colombia",7.83,7.5,7.58,7.5,7.67
"516",83,"Caturra","Colombia",7.33,7.67,7.75,7.75,7.58
"517",83,"Caturra","Colombia",7.58,7.75,7.42,7.58,7.42
"518",83,"Caturra","Colombia",7.5,7.5,7.42,7.75,7.58
"519",83,"Typica","Mexico",7.67,7.58,7.42,7.67,7.58
"520",83,"Typica","Mexico",7.67,7.83,7.5,7.58,7.67
"521",83,"Bourbon","Mexico",7.5,7.67,7.5,7.58,7.58
"522",83,"Arusha","Colombia",7.67,7.58,7.5,7.75,7.5
"523",83,"Caturra","Colombia",7.75,7.58,7.5,7.83,7.75
"524",83,"Caturra","Colombia",7.67,7.58,7.58,7.67,7.42
"525",83,"Bourbon","Guatemala",7.5,7.67,7.5,7.5,7.83
"526",83,"Caturra","Colombia",7.67,7.67,7.58,7.67,7.42
"527",83,NA,"Thailand",7.33,7.67,7.58,7.75,7.67
"528",83,NA,"Colombia",7.33,7.67,7.58,7.58,7.92
"529",83,NA,"United States (Hawaii)",7.83,7.83,7.67,7.92,7.83
"530",83,NA,"United States (Hawaii)",7.5,7.58,7.42,7.58,7.67
"531",83,NA,"Colombia",7.5,7.58,7.67,7.58,7.58
"532",83,"Caturra","Nicaragua",7.58,7.83,7.75,7.92,8.08
"533",83,NA,"Thailand",7.5,7.25,7.42,8.17,7.5
"534",82.92,"Bourbon","Brazil",7.67,7.58,7.5,7.58,7.5
"535",82.92,"Bourbon","El Salvador",7.5,7.5,7.75,7.92,7.83
"536",82.92,"Caturra","Colombia",7.58,7.67,7.5,7.67,7.58
"537",82.92,"Caturra","Taiwan",7.17,7.83,7.25,7.67,7.58
"538",82.92,"Ethiopian Heirlooms","Ethiopia",7.58,7.58,7.5,7.58,7.58
"539",82.92,"Typica","Taiwan",7.5,7.58,7.67,7.5,7.75
"540",82.92,"Other","Philippines",7.58,7.58,7.67,7.5,7.5
"541",82.92,"Other","Philippines",8.08,7.5,7.67,7.33,7.5
"542",82.92,"Typica","Mexico",7.83,7.67,7.25,7.5,7.5
"543",82.92,"Bourbon","Mexico",7.75,7.67,7.42,7.75,7.5
"544",82.92,"Moka Peaberry","Brazil",7.08,7.5,7.5,7.75,7.67
"545",82.92,"SL14","Uganda",8,7.5,7.5,7.33,7.42
"546",82.92,"SL14","Uganda",7.75,7.58,7.58,7.5,7.5
"547",82.92,"Bourbon","Guatemala",7.75,7.5,7.42,7.67,7.5
"548",82.92,"Caturra","Guatemala",7.67,7.83,7.42,7.33,7.5
"549",82.92,NA,"Guatemala",7.58,7.58,7.25,7.58,7.58
"550",82.92,"Caturra","Colombia",7.58,7.5,7.75,7.58,7.58
"551",82.92,"Caturra","Colombia",7.75,7.5,7.25,7.75,7.5
"552",82.92,"Bourbon","Guatemala",7.83,7.75,7.25,7.5,7.17
"553",82.92,"Other","Colombia",7.83,7.67,7.42,7.5,7.58
"554",82.92,"Typica","Mexico",7.58,7.58,7.33,7.58,7.75
"555",82.92,"Other","Vietnam",7.67,7.33,7.17,8.08,7.42
"556",82.92,"Typica","Mexico",8,7.92,7.67,7.67,7.42
"557",82.92,"Hawaiian Kona","United States (Hawaii)",7.5,7.5,7.5,7.67,7.83
"558",82.92,NA,"Colombia",7.5,7.75,7.33,7.08,7.83
"559",82.92,NA,"Thailand",7.42,7.58,7.5,7.5,8
"560",82.83,"SL28","Kenya",7.75,7.58,7.42,7.5,7.5
"561",82.83,"Bourbon","Guatemala",7.5,7.58,7.33,7.58,7.58
"562",82.83,"Yellow Bourbon","Brazil",7.67,7.58,7.58,7.5,7.42
"563",82.83,"Pacas","El Salvador",7.33,7.67,7.67,7.33,7.67
"564",82.83,"Bourbon","Rwanda",7.83,7.92,7.75,7.75,7.75
"565",82.83,"Other","Vietnam",7.25,7.58,7.5,7.75,7.42
"566",82.83,"Bourbon","Guatemala",7.58,7.58,7.33,7.67,7.5
"567",82.83,"Catuai","Brazil",7.58,7.83,7.33,7.42,7.33
"568",82.83,"Other","Colombia",7.83,7.67,7.5,7.5,7.67
"569",82.83,"Other","United States",7.42,7.58,7.25,7.75,7.75
"570",82.83,"Bourbon","Guatemala",7.67,7.67,7.75,7.42,7.17
"571",82.83,"Typica","Colombia",7.5,7.42,7.58,7.58,7.58
"572",82.83,"Caturra","Colombia",7.83,7.5,7.5,7.5,7.5
"573",82.83,"Arusha","Tanzania, United Republic Of",7.67,7.5,7.33,7.58,7.75
"574",82.83,"Caturra","Mexico",7.58,7.67,7.5,7.5,7.5
"575",82.83,"Bourbon","Mexico",7.67,7.58,7.42,7.42,7.42
"576",82.83,"Bourbon","Guatemala",7.67,7.67,7.33,7.33,7.92
"577",82.83,"Typica","Mexico",7.58,7.58,7.5,7.67,7.58
"578",82.83,NA,"El Salvador",7.75,7.58,7.75,7.25,7.5
"579",82.75,"Caturra","Guatemala",7.5,7.58,7.42,7.58,7.5
"580",82.75,"Caturra","Guatemala",7.58,7.67,7.5,7.5,7.42
"581",82.75,"Bourbon","Guatemala",7.5,7.67,7.17,7.67,7.58
"582",82.75,"Bourbon","Guatemala",7.5,7.5,7.42,7.67,7.5
"583",82.75,"Bourbon","Guatemala",7.42,7.58,7.42,7.5,7.5
"584",82.75,"Sulawesi","Indonesia",7.5,7.58,7.42,7.58,7.5
"585",82.75,"Bourbon","Guatemala",7.58,7.58,7.33,7.33,7.67
"586",82.75,"Yellow Bourbon","Taiwan",7.83,7.67,7.33,7.58,7.67
"587",82.75,"Bourbon","El Salvador",7.67,7.67,7.17,7.58,7.67
"588",82.75,"Caturra","Costa Rica",7.58,7.5,7.42,7.42,7.5
"589",82.75,"Caturra","Honduras",7.58,7.5,7.42,7.5,7.5
"590",82.75,"Yellow Bourbon","Brazil",7.5,7.5,7.58,7.58,7.58
"591",82.75,"Catimor","China",7.67,7.5,7.33,7.67,7.67
"592",82.75,"Catimor","China",7.5,7.67,7.42,7.5,7.5
"593",82.75,"Caturra","Colombia",7.5,7.58,7.58,7.33,7.5
"594",82.75,"Gesha","Malawi",7.75,7.58,7.42,7.33,7.5
"595",82.75,"Pacas","Guatemala",7.75,7.42,7.25,7.5,7.67
"596",82.75,"Typica","Colombia",7.67,7.42,7.42,7.33,7.67
"597",82.75,"Hawaiian Kona","United States (Hawaii)",7.67,7.58,7.42,7.33,7.5
"598",82.75,"Hawaiian Kona","United States (Hawaii)",7.58,7.83,7.75,7.42,8
"599",82.75,"Caturra","Colombia",7.58,7.33,7.17,7.25,8.58
"600",82.75,"Typica","Mexico",7.58,7.58,7.5,7.5,7.5
"601",82.75,"Typica","Mexico",7.58,7.58,7.33,7.25,7.58
"602",82.75,"Typica","Mexico",8.08,8.17,8,7.83,7.92
"603",82.75,"Caturra","Colombia",7.5,7.58,7.42,7.5,7.58
"604",82.75,"Caturra","Colombia",7.67,7.58,7.58,7.5,7.42
"605",82.75,"Hawaiian Kona","United States (Hawaii)",7.25,7.75,7.5,7.67,7.67
"606",82.75,"Catuai","Panama",7.42,7.42,7.5,7.5,7.75
"607",82.75,NA,"United States (Hawaii)",7.75,7.67,7.5,7.17,7.42
"608",82.67,"Bourbon","Brazil",7.5,7.58,7.25,7.58,7.5
"609",82.67,"Bourbon","Brazil",7.5,7.58,7.5,7.5,7.42
"610",82.67,"Catimor","Laos",7.67,7.67,7.42,7.42,7.5
"611",82.67,"Pacas","El Salvador",7.67,7.67,7.67,7.5,7.67
"612",82.67,NA,"Mexico",7.5,7.67,7.42,7.42,7.17
"613",82.67,NA,"Colombia",7.75,7.5,7.33,7.33,7.75
"614",82.67,"Yellow Bourbon","Brazil",7.58,7.5,7.42,7.5,7.5
"615",82.67,"Catuai","Brazil",7.33,7.5,7.58,7.67,7.5
"616",82.67,"Other","Tanzania, United Republic Of",7.5,7.5,7.5,7.5,7.58
"617",82.67,"Bourbon","Tanzania, United Republic Of",7.58,7.5,7.5,7.33,7.58
"618",82.67,"Typica","Taiwan",8,7.83,7.83,7.25,7.25
"619",82.67,"Typica","Mexico",7.67,7.58,7.42,7.42,7.5
"620",82.67,"SL14","Uganda",7.67,7.5,7.33,7.5,7.5
"621",82.67,"Typica","Taiwan",7.67,7.5,7.5,7.5,7.5
"622",82.67,"Caturra","Thailand",7.42,7.5,7.5,7.58,7.5
"623",82.67,"Caturra","Colombia",7.75,7.58,7.67,7.58,7.42
"624",82.67,"Other","El Salvador",7.92,8,7.5,7.92,7.58
"625",82.67,"Caturra","Guatemala",7.67,7.67,7.17,7.5,7.5
"626",82.67,"Other","Thailand",7.83,7.33,7.83,7.58,7.83
"627",82.67,"Other","Mexico",7.58,7.58,7.42,7.42,7.5
"628",82.67,"Typica","Mexico",7.5,7.58,7.58,7.42,7.42
"629",82.67,NA,"Colombia",7.33,7.58,7.42,7.67,7.67
"630",82.67,NA,"United States (Hawaii)",7.83,7.67,7.5,7.5,7.58
"631",82.67,"Blue Mountain","Mexico",7.75,7.58,7.25,7.67,7.58
"632",82.67,NA,"Colombia",8.08,7.67,7.67,7.33,7.17
"633",82.67,NA,"Colombia",7.5,7.42,7.33,7.67,7.83
"634",82.58,"Bourbon","Guatemala",7.5,7.42,7.42,7.5,7.5
"635",82.58,"Typica","Taiwan",7.67,7.42,7.5,7.58,7.5
"636",82.58,NA,"Brazil",7.5,7.58,7.42,7.75,7.33
"637",82.58,NA,"Taiwan",7.25,7.25,7,7,7
"638",82.58,NA,"Brazil",7.42,7.42,7.5,7.25,7.67
"639",82.58,"Typica","Indonesia",7.83,7.58,7.42,7.42,7.5
"640",82.58,NA,"Thailand",7.75,7.33,7.42,7.42,7.5
"641",82.58,"Caturra","Thailand",7.42,7.58,7.58,7.58,7.5
"642",82.58,"Other","Tanzania, United Republic Of",7.75,7.42,7.33,7.58,7.5
"643",82.58,"SL14","Uganda",7.83,7.5,7.42,7.42,7.42
"644",82.58,"Catuai","Costa Rica",7.67,7.42,7.5,7,7.75
"645",82.58,NA,"Mexico",7.58,7.58,7.42,7.67,7.67
"646",82.58,NA,"Guatemala",7.5,7.58,7.42,7.42,7.58
"647",82.58,"Caturra","Colombia",7.75,7.25,7.33,7.5,7.83
"648",82.58,"Caturra","Colombia",7.75,7.5,7.75,7.33,7.58
"649",82.58,"Caturra","Colombia",7.58,7.5,7.42,7.67,7.42
"650",82.58,"Typica","Mexico",7.5,7.58,7.5,7.42,7.5
"651",82.58,"Typica","Mexico",7.67,7.58,7.58,7.67,6.83
"652",82.58,"Caturra","Colombia",7.33,7.42,7.58,7.67,7.5
"653",82.58,"Mundo Novo","Brazil",7.58,7.5,7.33,7.5,7.5
"654",82.5,"Bourbon","Brazil",7.5,7.5,7.5,7.58,7.5
"655",82.5,"Other","Indonesia",7.83,7.75,7.25,7.42,7.33
"656",82.5,"Caturra","Honduras",7.58,7.58,7.33,7.5,7.5
"657",82.5,"Bourbon","Guatemala",7.5,7.5,7.33,7.67,7.5
"658",82.5,NA,"Thailand",7.5,7.83,7.5,7.33,7.42
"659",82.5,"Caturra","Thailand",7.33,7.5,7.5,7.67,7.5
"660",82.5,"Other","Tanzania, United Republic Of",7.67,7.42,7.33,7.5,7.5
"661",82.5,"Other","Tanzania, United Republic Of",7.75,7,7.42,7.58,7.58
"662",82.5,"Other","Mexico",7.42,7.58,7.5,7.25,7.5
"663",82.5,"Yellow Bourbon","Brazil",7.42,7.5,7.67,7.42,7.67
"664",82.5,"Bourbon","Guatemala",7.83,7.42,7.33,7.42,7.5
"665",82.5,"Caturra","Colombia",7.5,7.5,7.42,7.58,7.58
"666",82.5,"Bourbon","Guatemala",7.83,7.67,7.17,7.5,7.67
"667",82.5,"Typica","Mexico",7.5,7.58,7.5,7.42,7.42
"668",82.5,"Typica","Mexico",7.67,7.5,7.33,7.5,7.33
"669",82.5,"Typica","Mexico",7.92,7.5,7.33,7.25,7.42
"670",82.5,"Caturra","Guatemala",7.67,7.33,7.33,7.5,7.83
