"","total_cup_points","variety","country_of_origin","aroma","flavor","aftertaste","body","balance"
"1002",81,"Bourbon","Guatemala",7.42,7.25,7.17,7.25,7.17
"1003",81,"Caturra","Colombia",7.67,7.5,7.42,7.67,7.75
"1004",81,"Bourbon","Guatemala",7.5,7.25,7,7.5,7.25
"1005",81,"Typica","Taiwan",7.25,7.17,7.17,7.5,7.33
"1006",81,"Caturra","Honduras",7.42,7.25,7.25,7.25,7.17
"1007",81,"Mundo Novo","Brazil",7.67,7.75,7.83,7.83,7.75
"1008",81,"Other","Tanzania, United Republic Of",7.33,7.33,7.08,7.17,7.33
"1009",81,"SL14","Uganda",7.33,6.92,7.17,7.42,7.42
"1010",81,"Typica","Taiwan",7.5,6.92,7.33,7.33,7.33
"1011",81,NA,"Thailand",7.33,7.42,7.25,7.25,7.17
"1012",81,"Other","Mexico",7.08,7.33,7.33,7.42,7.25
"1013",81,"Typica","Mexico",7.58,7.67,7.5,7.58,7.5
"1014",80.92,"Other","Taiwan",7.33,7.17,7.25,7.33,7.25
"1015",80.92,"Bourbon","Guatemala",7.67,7.67,7.33,7.67,7.5
"1016",80.92,"SL28","Kenya",7.17,7.58,7.5,8,7.75
"1017",80.92,"Bourbon","Mexico",7.5,7.33,7.17,7.5,7.33
"1018",80.92,"Other","Myanmar",7.17,7.42,7,7.33,7
"1019",80.92,"Hawaiian Kona","United States (Hawaii)",7.42,7.08,7.17,7.58,7.25
"1020",80.92,"Other","Tanzania, United Republic Of",7.33,7.17,7.17,7.42,7.33
"1021",80.92,"Yellow Bourbon","Brazil",7.25,7.33,7.25,7.25,7.33
"1022",80.92,"Typica","Taiwan",7.92,7.67,7.33,7.08,7.08
"1023",80.92,"Bourbon","Brazil",7.17,7.42,7.17,7.25,7.33
"1024",80.92,"Caturra","Nicaragua",7.33,7.08,7.25,7.5,7.42
"1025",80.92,"Pacas","Guatemala",7.58,7.42,6.92,7.25,7.17
"1026",80.92,"Typica","Taiwan",7.42,7.25,7.25,7.25,7.25
"1027",80.92,"Typica","Taiwan",7.25,7.17,7.08,7.08,8.08
"1028",80.92,"Typica","Taiwan",7.42,7.25,7.25,7.25,7.25
"1029",80.92,"Typica","Mexico",7.58,7.33,7.08,7.17,7.25
"1030",80.92,"Peaberry","Thailand",7.67,7.58,7.33,7.17,7
"1031",80.83,"Catimor","Laos",7.42,7.33,7.17,7.17,7.25
"1032",80.83,"Caturra","Guatemala",7.67,7.25,7.08,7.17,7.25
"1033",80.83,"Catuai","Mexico",7.17,7.08,7.25,7.25,7.33
"1034",80.83,"Typica","Mexico",7.33,7.25,7.33,7.25,7.17
"1035",80.83,"Bourbon","Mexico",7.5,7.17,7.33,7.17,7.17
"1036",80.83,"Hawaiian Kona","United States (Hawaii)",7.42,7.33,7,7.33,7.5
"1037",80.83,NA,"Colombia",7.33,7.33,7,7.33,7.67
"1038",80.75,NA,"Brazil",7.17,7.25,7.08,7.25,7.58
"1039",80.75,"Catuai","Myanmar",6.92,7.5,7,7.5,7.08
"1040",80.75,"Caturra","Guatemala",7.5,7.33,7,7.17,7.17
"1041",80.75,"Other","Nicaragua",7.25,7.25,7.17,7.33,7.25
"1042",80.75,"Caturra","Honduras",7.5,7.33,7,7.25,7.17
"1043",80.75,"Caturra","Panama",7.25,7.33,7.17,7.33,7.17
"1044",80.75,"Catuai","Honduras",7.42,7.17,7.08,7.25,7.25
"1045",80.75,"Catuai","Honduras",7.25,7.33,7.08,7.25,7.33
"1046",80.75,"Caturra","Costa Rica",7.33,7.33,7.25,7.17,7.17
"1047",80.75,"Typica","Mexico",7.58,7.33,7.42,7.5,7.5
"1048",80.75,"Typica","Haiti",7.42,7,7.42,7.08,7.33
"1049",80.75,"Arusha","United States (Hawaii)",7.08,7.33,7.17,7.33,7.67
"1050",80.67,"Typica","Taiwan",7.33,7.08,7.08,7.42,7.33
"1051",80.67,"Mandheling","Indonesia",7.58,7.42,7,7.5,7.5
"1052",80.67,"Bourbon","Guatemala",7.67,7.42,6.83,7.42,7.17
"1053",80.67,"Caturra","Costa Rica",7.83,7.5,7.67,7.83,7.5
"1054",80.67,"Caturra","Malawi",7.5,7.25,7.17,7.25,7.17
"1055",80.67,"Typica","Mexico",7.25,7.17,7.17,7.17,7.42
"1056",80.67,"Caturra","Colombia",7.67,7.5,7.42,7.5,7.75
"1057",80.67,"Bourbon","Guatemala",7.67,7.17,7,7,7
"1058",80.67,"Bourbon","Guatemala",7,7.33,7.5,7,7.33
"1059",80.67,"Bourbon","Guatemala",7,7.5,7.33,7.17,7.17
"1060",80.67,NA,"Colombia",7.17,7.25,7.08,7.08,7.42
"1061",80.58,NA,"Brazil",7.33,7.25,7.33,7.58,7.25
"1062",80.58,NA,"Nicaragua",7.08,7.5,7,7.42,7
"1063",80.58,"Other","Tanzania, United Republic Of",7.25,7.08,7.08,7.33,7.25
"1064",80.58,"Bourbon","Brazil",7.42,7.25,7.33,7.08,7.25
"1065",80.58,"Caturra","Honduras",7.5,7.17,7,7.33,7
"1066",80.58,"Bourbon","Guatemala",7.17,7.42,6.83,7.17,7.25
"1067",80.58,NA,"United States (Hawaii)",7.42,7.58,7.5,7.83,7.83
"1068",80.58,NA,"Colombia",7.08,7.25,7,7.08,7.33
"1069",80.5,"Other","Taiwan",7.17,7.17,7.17,7.17,7.25
"1070",80.5,"Caturra","Guatemala",7.33,7.25,7.08,7.25,7.17
"1071",80.5,"Catuai","Honduras",7.58,7.33,7,7.33,7.08
"1072",80.5,NA,"Mauritius",7.25,7.25,7.17,7.25,7.17
"1073",80.5,"Yellow Bourbon","Brazil",7.25,7.33,7.17,7.33,7.25
"1074",80.5,"Other","Myanmar",7.17,7.33,7.17,7.25,7.08
"1075",80.5,"Other","Guatemala",7.5,7.17,6.83,7.17,7.17
"1076",80.5,"Yellow Bourbon","Brazil",7.42,7.42,7.08,7.67,7.5
"1077",80.5,"Hawaiian Kona","United States (Hawaii)",7.42,7.33,7.33,7.58,7.42
"1078",80.5,"Bourbon","Guatemala",7.5,7.5,7,7.17,7
"1079",80.5,"Typica","Mexico",7.25,7.25,7.08,7.25,7.17
"1080",80.42,NA,"Honduras",7.25,7.42,7,7.33,7
"1081",80.42,"Typica","Taiwan",7.58,7.17,7.17,7.17,7.17
"1082",80.42,"Bourbon","El Salvador",7.33,7.17,7.08,7.33,7.17
"1083",80.42,"Other","China",7.25,7.08,7.25,7.33,7.17
"1084",80.42,"Typica","Taiwan",7.25,7.25,7.17,7.25,7.25
"1085",80.42,"Typica","Mexico",6.92,7.17,7.08,7.33,7.17
"1086",80.42,"Caturra","Mexico",7.42,7.08,7.08,7.25,7.17
"1087",80.33,NA,"Burundi",7.08,7.25,7.17,7.08,7.08
"1088",80.33,"Bourbon","Tanzania, United Republic Of",7.25,7.17,7,7.42,7.08
"1089",80.33,"Other","Tanzania, United Republic Of",7.25,7.17,7.25,7.25,7.08
"1090",80.33,"Yellow Bourbon","Taiwan",7.25,7.25,7.08,7.25,7.25
"1091",80.33,"Bourbon","Guatemala",7.33,7.33,6.83,7,7.17
"1092",80.33,"Typica","Mexico",7.25,7.08,7.08,7.33,7.17
"1093",80.33,"Hawaiian Kona","United States (Hawaii)",7.17,7.5,6.92,7.67,7.33
"1094",80.33,NA,"Ethiopia",7.25,7.25,7.25,7.5,8
"1095",80.25,"Catuai","Brazil",7.17,7.33,7.42,7,7
"1096",80.25,"Caturra","Honduras",7.25,7.25,7,7.42,7
"1097",80.25,"Caturra","Mexico",7.25,7.17,7,7.33,7
"1098",80.25,"Other","Myanmar",8,7.08,7,7.08,6.92
"1099",80.25,"Catuai","Myanmar",7.42,7,7.08,7.17,7.33
"1100",80.25,"Caturra","Nicaragua",7.08,6.92,7,7.5,7.25
"1101",80.25,"Hawaiian Kona","United States (Hawaii)",7.5,7.08,7.67,7.42,7.58
"1102",80.25,"Typica","Colombia",7.42,8,7.83,8.08,7.58
"1103",80.25,"Typica","Taiwan",7.25,7.08,7.25,7.17,7.25
"1104",80.25,"Caturra","Guatemala",7,7.17,7.33,7,7.17
"1105",80.25,"Caturra","Mexico",7.58,7.33,7.17,6.75,7
"1106",80.17,"Catimor","Vietnam",7.42,7.25,7.25,7.42,7.33
"1107",80.17,"Caturra","Nicaragua",7.17,7.08,7.08,7.25,7.08
"1108",80.17,"Catuai","Honduras",7.25,7.25,7,7.08,7.08
"1109",80.17,"Bourbon","Guatemala",7.33,7.33,7,7.17,7.17
"1110",80.17,"Typica","Mexico",7.33,7.08,6.92,7.25,7.08
"1111",80.17,"Typica","Mexico",7.58,7.42,7.33,7.08,7.17
"1112",80.17,"Bourbon","Mexico",7.33,7.33,7.17,7.25,7
"1113",80.17,"Bourbon","Guatemala",7.33,7.33,7,7,7
"1114",80.17,NA,"United States (Hawaii)",7.58,7.5,7.33,7.67,7.33
"1115",80.08,"Bourbon","Brazil",7.17,7.17,7,7.25,7.25
"1116",80.08,"Typica","Taiwan",7.42,7.25,7.25,7,7
"1117",80.08,NA,"Nicaragua",7.25,7.17,6.92,7.17,7.25
"1118",80.08,"Typica","Taiwan",7.25,7.25,7.25,7.08,7
"1119",80.08,"Typica","Taiwan",7.25,7.25,7.25,7.25,7.08
"1120",80.08,"Typica","Taiwan",7.25,7.25,7.25,7.17,7.08
"1121",80.08,"Typica","Mexico",7.33,7.17,7.25,7.08,7.08
"1122",80.08,"Typica","Mexico",7.25,7.08,7,7.33,7.17
"1123",80,"Caturra","Nicaragua",7.33,7.08,6.92,7.42,7.17
"1124",80,"Other","Myanmar",7.17,7.33,7,7.17,7
"1125",80,"Typica","Mexico",7.58,7.75,7.42,7.5,7.5
"1126",80,"Typica","Taiwan",7.25,7.25,7.25,7.25,7
"1127",80,NA,"Thailand",7.33,6.67,7.08,7.42,7.08
"1128",80,"Typica","Mexico",7.25,7.25,7.08,7.33,7.33
"1129",80,"Other","Mexico",7.08,7.33,7,7.08,7
"1130",80,NA,"Ethiopia",7.42,7.42,7.5,7.75,7.58
"1131",79.92,NA,"Colombia",7.83,7.67,7.58,7.83,7.17
"1132",79.92,"Hawaiian Kona","United States (Hawaii)",7.5,7,7,7.33,7.17
"1133",79.92,"Bourbon","Mexico",7.33,7.08,7.08,7.42,7.17
"1134",79.92,"Other","Mexico",7.17,7.17,6.92,7.33,7.08
"1135",79.92,"Bourbon","Mexico",7.5,7.17,7,7.25,7.08
"1136",79.92,"Catuai","Mexico",7.17,7.08,7.08,7.5,7.33
"1137",79.92,"Typica","Mexico",7.33,7.25,7,7.17,7.17
"1138",79.92,"Mundo Novo","Mexico",7.17,7.33,7.08,7.33,7.08
"1139",79.92,NA,"United States (Hawaii)",7.5,7.42,7.58,7.5,7.58
"1140",79.83,"SL34","Kenya",7,7.08,7,7.25,7.25
"1141",79.83,"Bourbon","Guatemala",7.33,7.25,6.92,7.25,7.33
"1142",79.83,"Caturra","Nicaragua",6.83,7.17,7.17,7.5,7.08
"1143",79.83,"Typica","Mexico",7.17,7.08,7,7.5,7
"1144",79.83,"Hawaiian Kona","United States (Hawaii)",7.58,7.08,6.83,7.5,7.17
"1145",79.75,"Bourbon","Guatemala",7.5,7.42,7.25,7.33,7.42
"1146",79.75,"Typica","Taiwan",7.75,7.33,7.17,7.67,7.83
"1147",79.75,"Typica","Taiwan",7.08,7.08,7.25,7.17,7.17
"1148",79.75,NA,"Thailand",7.25,7.08,6.92,7.08,6.92
"1149",79.75,NA,"Peru",7,7.08,7,7.5,7.42
"1150",79.75,"Catuai","Costa Rica",7.58,7.5,7.67,7.67,7.58
"1151",79.75,"Typica","Mexico",7.58,7.08,7,7.5,6.92
"1152",79.75,"Bourbon","Mexico",7.58,7.08,6.92,7.5,6.92
"1153",79.75,"Bourbon","Mexico",7.25,7.08,7,7.17,7.08
"1154",79.75,"Bourbon","Mexico",7.25,7.17,7.17,7.17,7
"1155",79.75,"Typica","Mexico",7.33,7.25,7,7.08,7
"1156",79.75,"Bourbon","Guatemala",7.58,7.33,7.5,7,7.33
"1157",79.75,"Typica","Mexico",7.25,6.83,6.92,7.25,7.08
"1158",79.67,"Bourbon","Guatemala",7.42,7.42,7.25,7.42,7.33
"1159",79.67,"Bourbon","El Salvador",7.25,7.08,7,7.33,7.17
"1160",79.67,NA,"Thailand",6.92,7.17,6.83,7.17,7.08
"1161",79.67,"Bourbon","Guatemala",7.5,7,6.83,7.08,7.17
"1162",79.67,"Typica","Mexico",7.42,7.25,6.83,7.17,6.58
"1163",79.67,"Caturra","Mexico",7.33,7.17,7,7.08,7
"1164",79.67,"Mundo Novo","Mexico",6.92,7.17,7.17,7.08,7.08
"1165",79.67,"Peaberry","Thailand",7.17,7.17,7,7.25,6.92
"1166",79.58,"Typica","Mexico",7.08,7,6.92,7.25,7.08
"1167",79.58,"Caturra","Mexico",7.25,6.92,6.92,7.25,7
"1168",79.58,NA,"Colombia",7.25,7.17,7,7.17,7.33
"1169",79.58,NA,"Guatemala",7.08,7,6.83,7.25,7
"1170",79.5,"Caturra","Nicaragua",6.92,6.92,7,7.25,7
"1171",79.5,"Typica","Taiwan",6.92,7,7.17,7.42,7
"1172",79.5,"Caturra","Colombia",7.83,7.5,7.42,7.67,7.5
"1173",79.5,"Caturra","Mexico",7.25,7.08,6.92,7.58,7.08
"1174",79.5,"Typica","Mexico",7.25,7.33,7,7.17,7.17
"1175",79.42,"Bourbon","Guatemala",7.08,7.33,7.25,7.33,7.42
"1176",79.42,"Other","Guatemala",7.25,7.33,6.83,7,7.17
"1177",79.42,"Typica","Mexico",7,6.83,6.83,7.33,7.17
"1178",79.33,NA,"Cote d?Ivoire",7.42,7.25,6.83,7.33,7.08
"1179",79.33,"Caturra","Colombia",7.42,7.25,6.75,7.42,7.25
"1180",79.33,"Typica","Mexico",7,7,6.83,7.42,6.92
"1181",79.33,"Typica","Mexico",7.42,7.17,7.08,7.08,7.08
"1182",79.33,"Bourbon","Guatemala",7.17,6.5,6.33,7.58,7.33
"1183",79.25,"Typica","Taiwan",7.08,6.83,6.83,7.42,7.08
"1184",79.25,"Bourbon","Mexico",7,7,6.92,7.17,7.08
"1185",79.17,"Bourbon","Guatemala",7.33,7.42,7.33,7.5,7.42
"1186",79.17,"Catuai","Honduras",7.58,7,6.75,7,6.92
"1187",79.17,"Bourbon","Guatemala",7.08,7,6.92,7,6.92
"1188",79.17,"Catuai","Guatemala",7.25,7.17,6.75,7,6.92
"1189",79.17,"Catuai","Costa Rica",7.17,7.42,7.5,7.25,7.83
"1190",79.17,"Typica","Mexico",7.25,7.08,6.92,7.17,7.17
"1191",79.17,"Typica","Mexico",7.17,6.92,6.92,7.17,7
"1192",79.17,"Typica","Mexico",6.75,6.75,6.83,7.58,7.08
"1193",79.08,"Bourbon","Guatemala",7.58,7.67,7.42,7.67,7.67
"1194",79.08,"Other","United States (Puerto Rico)",7.42,7.08,6.75,7.33,6.92
"1195",79.08,"Typica","Mexico",7.33,7,6.92,7.33,7.08
"1196",79.08,"Mundo Novo","Mexico",7.25,7.08,6.75,7.42,7
"1197",79.08,"Typica","Mexico",7.17,7.25,7.25,7.25,7.08
"1198",79.08,NA,NA,6.75,6.75,6.42,7.58,7.5
"1199",79,"Other","Guatemala",7.33,7.17,6.58,7.08,6.83
"1200",79,"Pacas","Honduras",7,7,7,7,7
"1201",79,"Typica","Peru",7.67,7.17,7.08,8,7.5
"1202",79,"Mundo Novo","Mexico",6.75,7.08,6.67,7.17,7.08
"1203",79,"Typica","Mexico",7.5,7.17,6.92,7.25,7
"1204",79,"Typica","Mexico",7.17,6.83,6.83,7.17,6.92
"1205",78.92,"Typica","Mexico",7.33,7,6.75,7.17,7.25
"1206",78.92,"Typica","Mexico",7.5,7,6.92,6.92,6.75
"1207",78.83,"Caturra","Nicaragua",7.17,7,6.92,7,7
"1208",78.75,NA,"United States (Hawaii)",7.5,6.92,6.92,7.58,7.42
"1209",78.75,"Bourbon","Guatemala",7.33,7.08,6.33,7,7
"1210",78.75,"Typica","Mexico",7.25,6.83,6.83,7.17,7
"1211",78.75,"Typica","Mexico",7.25,7.33,7.17,7.08,7
"1212",78.75,"Bourbon","Mexico",7.67,7.17,6.83,7.58,7.17
"1213",78.67,"Typica","China",7,6.92,6.83,7.17,7.17
"1214",78.67,"Caturra","Mexico",6.92,6.92,6.67,7.17,6.92
"1215",78.58,NA,"Nicaragua",7.08,7,6.75,7.08,6.92
"1216",78.58,NA,"Nicaragua",6.83,7.08,6.92,7.25,7.08
"1217",78.58,"Other","Guatemala",7.33,7.17,6.92,7.25,7.17
"1218",78.58,"Typica","Taiwan",6.83,6.75,7.17,7,6.92
"1219",78.58,"Typica","Mexico",7,7,6.75,6.92,6.92
"1220",78.58,"Typica","Mexico",7.92,7.58,7.58,7.92,7.5
"1221",78.58,NA,"United States (Hawaii)",7.92,6.83,7.08,6.75,7.33
"1222",78.5,"Bourbon","Mexico",7.25,6.75,6.92,7.25,7.58
"1223",78.5,"Typica","Mexico",7.08,6.83,6.83,7,6.92
"1224",78.5,"Caturra","Mexico",7.25,7.17,7,7.58,7.08
"1225",78.42,"Catuai","Brazil",6.83,7,6.92,6.92,6.83
"1226",78.42,"Typica","Mexico",7.58,7.17,7,7.33,7
"1227",78.33,"Hawaiian Kona","United States (Hawaii)",7.5,7.75,7.58,7.92,7.92
"1228",78.33,"Other","Guatemala",7.17,6.5,6.67,7.17,7.17
"1229",78.33,"Bourbon","Guatemala",7.17,7.17,6.5,7,6.83
"1230",78.33,"Typica","Mexico",7.25,7.25,7,7.33,7.42
"1231",78.33,"Bourbon","Guatemala",7.17,6.08,6.17,7.33,7.33
"1232",78.25,"Hawaiian Kona","United States (Hawaii)",7.5,7.5,7.33,7.5,7.42
"1233",78.25,"Hawaiian Kona","United States (Hawaii)",7.42,7.33,7.33,7.67,7.75
"1234",78.17,"Java","Indonesia",6.92,6.83,6.92,6.92,6.83
"1235",78.08,"Typica","Mexico",7.08,6.83,6.67,7.25,6.92
"1236",78,"Yellow Bourbon","Taiwan",7.5,7.08,7.33,7.5,7.5
"1237",78,"Pacas","Honduras",6.83,7,6.67,7,6.83
"1238",78,"Hawaiian Kona","United States (Hawaii)",7.58,7.33,7.5,7.5,7.33
"1239",78,"Other","Guatemala",7.42,7.25,6.83,7,6.92
"1240",78,"Typica","China",7.33,7.17,6.92,7.33,7
"1241",78,"Bourbon","Guatemala",7,6.83,6.83,6.67,6.83
"1242",78,"Other","Mexico",7.25,7.33,7,7.25,7.08
"1243",78,NA,"Colombia",7.42,7.17,7,7.67,7.17
"1244",77.92,"Caturra","Costa Rica",7.5,7.25,7.42,7.08,6.83
"1245",77.92,"Typica","Mexico",7.42,7.25,7,7.25,7.08
"1246",77.92,"Bourbon","Guatemala",7.17,6.17,6.17,7.33,6.83
"1247",77.83,NA,"Nicaragua",7.42,7,7,7.08,7
"1248",77.83,NA,"Brazil",7,6.75,6.67,7.08,6.83
"1249",77.83,"Bourbon","Guatemala",7,6.83,6.67,6.83,6.83
"1250",77.67,"Typica","Taiwan",7.17,6.75,6.58,7.33,7.17
"1251",77.58,NA,"United States (Hawaii)",7.58,7.67,7.58,7.42,7.42
"1252",77.5,"Typica","Mexico",7.17,6.75,6.58,6.83,6.75
"1253",77.42,"Bourbon","Guatemala",7.08,6.92,6.33,6.92,7
"1254",77.33,"Bourbon","Brazil",7.5,7.33,7.42,7.58,6.92
"1255",77.33,"Other","Guatemala",7.33,7,6.83,7.17,7.17
"1256",77.33,"Typica","Mexico",7.33,7,6.67,6.92,6.92
"1257",77.25,"Typica","Haiti",6.83,6.83,6.83,6.92,6.92
"1258",77.25,NA,"United States (Hawaii)",7.08,6.92,6.83,7.58,7.42
"1259",77.17,"Other","Mexico",7.08,7,7,7.33,7.25
"1260",77,"Caturra","Peru",7.42,7.75,7.42,7.92,7.83
"1261",76.83,NA,"India",7.67,7.33,7.17,7.17,7.42
"1262",76.75,"Typica","Mexico",6.67,6.33,6.42,7,6.92
"1263",76.5,"Bourbon","Guatemala",6.42,6.5,6.5,6.33,6.92
"1264",76.42,"Typica","Mexico",7.17,6.58,6.58,7.25,6.58
"1265",76.33,"Bourbon","Guatemala",7.5,7,6.83,7.17,7.33
"1266",76.33,"Bourbon","Guatemala",6.17,6.5,6.5,7,6.83
"1267",76.25,"Hawaiian Kona","United States (Hawaii)",7.25,7.08,6.83,7.33,6.83
"1268",76.17,NA,"United States (Hawaii)",7.5,7.33,7.33,7.67,7.25
"1269",76.17,"Typica","Mexico",7.42,7,6.83,6.92,6.83
"1270",76.17,"Other","Indonesia",7.33,7,6.5,7.58,6.33
"1271",76.08,"Bourbon","Mexico",7.08,6.83,6.83,7.17,7.08
"1272",76,"Pacas","Honduras",6.83,6.83,6.67,7,6.83
"1273",75.83,NA,"Philippines",6.83,6.5,6.5,6.75,7
"1274",75.67,NA,"Brazil",7.17,7,6.83,7.17,7
"1275",75.58,"Bourbon","Guatemala",7.92,7.58,7.17,7.33,7.17
"1276",75.58,"Bourbon","Guatemala",6.67,6.5,6.33,7.17,6.75
"1277",75.5,"Pacamara","Mexico",7.5,7.25,6.92,7.17,6.83
"1278",75.17,"Mundo Novo","Mexico",7.17,6.92,6.67,7.25,7.75
"1279",75.17,"Other","Mexico",7.25,6.83,6.67,7.17,6.83
"1280",75.17,"Typica","Mexico",7.17,7.17,6.83,7.42,6.67
"1281",75,"Typica","Mexico",7,6.92,6.75,7.17,6.83
"1282",74.92,"Typica","Mexico",7.08,6.75,6.58,7,6.75
"1283",74.83,"Typica","Mexico",7.33,6.75,6.67,7.5,7
"1284",74.75,"Bourbon","Guatemala",6.75,6.5,6.17,7.25,6.75
"1285",74.75,"Bourbon","Guatemala",6.75,6.67,6.17,7,6.58
"1286",74.67,"Typica","Mexico",7.08,7,6.83,7.33,6.83
"1287",74.42,"Hawaiian Kona","United States (Hawaii)",7.5,7.25,7,7.42,7.33
"1288",74.33,"Bourbon","Guatemala",6.5,6.33,6.5,7.33,6.83
"1289",74.33,"Typica","Mexico",7,6.58,6.67,7.08,6.83
"1290",74,"Typica","Mexico",6.92,6.42,6.17,7.25,6.75
"1291",73.83,"Typica","Mexico",7.67,7,7.17,7.33,7.33
"1292",73.67,"Hawaiian Kona","United States (Hawaii)",7.17,7.17,7.17,7.67,6.92
"1293",73.5,NA,"Brazil",7.25,6.58,6.58,7,6.42
"1294",73.42,"Pacas","Honduras",7,7.17,6.83,7,7.17
"1295",72.92,"Typica","Mexico",7.08,7.08,6.92,6.92,6.92
"1296",72.83,NA,"Colombia",8,7.33,7.75,7.42,7.67
"1297",72.58,"Hawaiian Kona","United States (Hawaii)",6.92,6.92,6.92,7.58,7.17
"1298",72.33,NA,"Haiti",6.92,6.75,7.08,7.33,6.67
"1299",71.75,"Caturra","Costa Rica",6.33,6.5,6.33,6.33,6.5
"1300",71.08,"Mundo Novo","Mexico",6.92,6.92,6.92,7.17,7
"1301",71,"Bourbon","Mexico",6.5,6.67,6.42,7.33,6.5
"1302",70.75,"Typica","Mexico",6.92,7,6.83,7.42,6.92
"1303",70.67,NA,"Brazil",7,7,6.83,7.33,6.83
"1304",69.33,"Catuai","Honduras",6.67,6.5,6.17,6.83,6.17
"1305",69.17,"Catuai","Honduras",7,6.17,6.17,6.5,6.17
"1306",69.17,"Catuai","Honduras",7,6.33,6.17,6.67,6.17
"1307",68.33,"Bourbon","Mexico",7.08,6.83,6.25,7.25,6.75
"1308",67.92,"Typica","Haiti",6.75,6.58,6.42,7.08,6.67
"1309",63.08,"Caturra","Nicaragua",7.25,6.58,6.33,6.42,6.08
"1310",59.83,"Catuai","Guatemala",7.5,6.67,6.67,7.33,6.67
"1311",0,"Caturra","Honduras",0,0,0,0,0
"1312",83.75,NA,"Uganda",7.83,8.08,7.75,8.25,7.92
"1313",83.5,NA,"India",8,7.75,7.92,7.92,7.92
"1314",83.25,NA,"India",7.92,7.83,7.92,7.83,7.92
"1315",83,NA,"Uganda",8,7.92,7.92,7.83,7.75
"1316",83,NA,"Uganda",8.33,7.83,7.83,8.25,7.75
"1317",82.75,NA,"India",8,7.92,7.67,7.75,7.92
"1318",82.58,NA,"India",7.67,7.75,7.83,7.92,7.75
"1319",82.5,NA,"India",7.67,7.75,7.83,7.92,7.83
"1320",82.5,"Other","India",7.67,7.75,7.58,7.83,8
"1321",82.42,NA,"Uganda",7.67,7.83,7.83,7.92,7.75
"1322",81.75,NA,"Uganda",7.58,7.92,7.75,7.5,7.67
"1323",81.58,"Other","India",7.67,7.83,7.75,7.75,7.58
"1324",81.58,NA,"India",7.58,7.58,7.67,7.67,7.67
"1325",81.5,NA,"Uganda",8,7.75,7.75,7.67,7.5
"1326",81.5,NA,"Uganda",8,7.67,7.75,7.67,7.58
"1327",81.42,NA,"India",7.75,7.75,7.67,7.58,7.58
"1328",81.25,NA,"India",7.5,7.5,7.25,7.67,7.83
"1329",80.92,NA,"Uganda",7.33,7.58,7.5,7.75,7.67
"1330",80.58,NA,"Uganda",7.83,7.58,7.33,7.5,7.5
"1331",80.5,NA,"Uganda",7.75,7.42,7.33,7.67,7.58
"1332",80.17,NA,"India",7.67,7.67,7.5,7.58,7.5
"1333",80.17,NA,"India",7.58,7.42,7.42,7.42,7.5
"1334",79.33,"Arusha","United States",7.92,7.5,7.42,7.42,7.42
"1335",78.75,NA,"Ecuador",7.75,7.58,7.33,5.08,7.83
"1336",78.08,NA,"Ecuador",7.5,7.67,7.75,5.17,5.25
"1337",77.17,NA,"United States",7.33,7.33,7.17,7.5,7.17
"1338",75.08,NA,"India",7.42,6.83,6.75,7.25,7
"1339",73.75,NA,"Vietnam",6.75,6.67,6.5,6.92,6.83
